
Weather{id=null, lon='-8.4', lat='43.37', city='A Coruna', weatherMain='Clouds', weatherDescription='broken clouds', weatherIcon='04d', base='stations', mainTemp='18.43', mainPressure='986.24', mainHumidity='71.0', mainTempMin='18.43', mainTempMax='18.43', mainSeaLevel='1014.15', mainGroundLevel='18.43', windSpeed='2.81', windDeg='164.501', rain3H='null', cloudsAll='76', dt='1477153351', sysMessage='0.0023', sysCountry='ES', sysSunriseAsTimestamp='1477119440', sysSunsetAsTimestamp='1477157867', sysSunrise='2016-10-22T06:57:20Z', sysSunset='2016-10-22T17:37:47Z', cod='200'}
Weather{id=null, lon='-2.67', lat='42.83', city='Arechavaleta', weatherMain='Clouds', weatherDescription='scattered clouds', weatherIcon='03d', base='stations', mainTemp='16.15', mainPressure='945.87', mainHumidity='61.0', mainTempMin='16.15', mainTempMax='16.15', mainSeaLevel='1018.73', mainGroundLevel='16.15', windSpeed='3.56', windDeg='114.001', rain3H='null', cloudsAll='44', dt='1477153454', sysMessage='0.0025', sysCountry='ES', sysSunriseAsTimestamp='1477118016', sysSunsetAsTimestamp='1477156542', sysSunrise='2016-10-22T06:33:36Z', sysSunset='2016-10-22T17:15:42Z', cod='200'}
Weather{id=null, lon='-1.85', lat='38.98', city='Albacete', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='16.73', mainPressure='932.66', mainHumidity='90.0', mainTempMin='16.73', mainTempMax='16.73', mainSeaLevel='1021.69', mainGroundLevel='16.73', windSpeed='5.11', windDeg='247.001', rain3H='0.5225', cloudsAll='56', dt='1477153544', sysMessage='0.1133', sysCountry='ES', sysSunriseAsTimestamp='1477117502', sysSunsetAsTimestamp='1477156666', sysSunrise='2016-10-22T06:25:02Z', sysSunset='2016-10-22T17:17:46Z', cod='200'}
Weather{id=null, lon='-0.48', lat='38.35', city='Alicante', weatherMain='Rain', weatherDescription='moderate rain', weatherIcon='10d', base='stations', mainTemp='17.78', mainPressure='985.67', mainHumidity='100.0', mainTempMin='17.78', mainTempMax='17.78', mainSeaLevel='1022.62', mainGroundLevel='17.78', windSpeed='3.46', windDeg='209.501', rain3H='3.78', cloudsAll='76', dt='1477153271', sysMessage='0.0022', sysCountry='ES', sysSunriseAsTimestamp='1477117125', sysSunsetAsTimestamp='1477156387', sysSunrise='2016-10-22T06:18:45Z', sysSunset='2016-10-22T17:13:07Z', cod='200'}
Weather{id=null, lon='-2.46', lat='36.84', city='Almeria', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='20.48', mainPressure='1017.2', mainHumidity='100.0', mainTempMin='20.48', mainTempMax='20.48', mainSeaLevel='1023.27', mainGroundLevel='20.48', windSpeed='6.16', windDeg='223.501', rain3H='0.17', cloudsAll='8', dt='1477153481', sysMessage='0.0069', sysCountry='ES', sysSunriseAsTimestamp='1477117487', sysSunsetAsTimestamp='1477156976', sysSunrise='2016-10-22T06:24:47Z', sysSunset='2016-10-22T17:22:56Z', cod='200'}
Weather{id=null, lon='123.72', lat='10.57', city='Asturias', weatherMain='Clouds', weatherDescription='few clouds', weatherIcon='02n', base='stations', mainTemp='26.4', mainPressure='1012.26', mainHumidity='100.0', mainTempMin='26.4', mainTempMax='26.4', mainSeaLevel='1023.92', mainGroundLevel='26.4', windSpeed='1.71', windDeg='151.001', rain3H='null', cloudsAll='20', dt='1477153546', sysMessage='0.0031', sysCountry='PH', sysSunriseAsTimestamp='1477085675', sysSunsetAsTimestamp='1477128250', sysSunrise='2016-10-21T21:34:35Z', sysSunset='2016-10-22T09:24:10Z', cod='200'}
Weather{id=null, lon='122.71', lat='10.69', city='Avila', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10n', base='stations', mainTemp='25.85', mainPressure='1007.15', mainHumidity='91.0', mainTempMin='25.85', mainTempMax='25.85', mainSeaLevel='1024.04', mainGroundLevel='25.85', windSpeed='1.06', windDeg='181.001', rain3H='0.21', cloudsAll='76', dt='1477153546', sysMessage='0.003', sysCountry='PH', sysSunriseAsTimestamp='1477085924', sysSunsetAsTimestamp='1477128486', sysSunrise='2016-10-21T21:38:44Z', sysSunset='2016-10-22T09:28:06Z', cod='200'}
Weather{id=null, lon='-6.97', lat='38.88', city='Badajoz', weatherMain='Rain', weatherDescription='moderate rain', weatherIcon='10d', base='stations', mainTemp='17.18', mainPressure='984.86', mainHumidity='100.0', mainTempMin='17.18', mainTempMax='17.18', mainSeaLevel='1018.73', mainGroundLevel='17.18', windSpeed='6.36', windDeg='199.001', rain3H='3.2525', cloudsAll='100', dt='1477153352', sysMessage='0.0047', sysCountry='ES', sysSunriseAsTimestamp='1477118724', sysSunsetAsTimestamp='1477157902', sysSunrise='2016-10-22T06:45:24Z', sysSunset='2016-10-22T17:38:22Z', cod='200'}
Weather{id=null, lon='2.65', lat='39.57', city='Palma de Mallorca', weatherMain='Clouds', weatherDescription='scattered clouds', weatherIcon='03d', base='stations', mainTemp='22.9', mainPressure='1015.26', mainHumidity='90.0', mainTempMin='22.9', mainTempMax='22.9', mainSeaLevel='1022.18', mainGroundLevel='22.9', windSpeed='3.76', windDeg='240.001', rain3H='null', cloudsAll='32', dt='1477152964', sysMessage='0.0868', sysCountry='ES', sysSunriseAsTimestamp='1477116468', sysSunsetAsTimestamp='1477155540', sysSunrise='2016-10-22T06:07:48Z', sysSunset='2016-10-22T16:59Z', cod='200'}
Weather{id=null, lon='2.16', lat='41.39', city='Barcelona', weatherMain='Rain', weatherDescription='light rain', weatherIcon='10d', base='stations', mainTemp='17.1', mainPressure='1014.28', mainHumidity='100.0', mainTempMin='17.1', mainTempMax='17.1', mainSeaLevel='1022.54', mainGroundLevel='17.1', windSpeed='3.31', windDeg='19.0009', rain3H='1.8525', cloudsAll='12', dt='1477153547', sysMessage='0.0052', sysCountry='ES', sysSunriseAsTimestamp='1477116733', sysSunsetAsTimestamp='1477155508', sysSunrise='2016-10-22T06:12:13Z', sysSunset='2016-10-22T16:58:28Z', cod='200'}
Weather{id=null, lon='-2.93', lat='43.26', city='Bilbao', weatherMain='Clouds', weatherDescription='broken clouds', weatherIcon='04d', base='stations', mainTemp='19.5', mainPressure='976.67', mainHumidity='56.0', mainTempMin='19.5', mainTempMax='19.5', mainSeaLevel='1017.27', mainGroundLevel='19.5', windSpeed='1.71', windDeg='156.501', rain3H='null', cloudsAll='56', dt='1477153547', sysMessage='0.0069', sysCountry='ES', sysSunriseAsTimestamp='1477118116', sysSunsetAsTimestamp='1477156566', sysSunrise='2016-10-22T06:35:16Z', sysSunset='2016-10-22T17:16:06Z', cod='200'}
